artist,song_id,platform,date,release_date,followers,following,uploads,likes
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-15,2024-06-14,1400000,0,50,8800000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-16,2024-06-14,1400000,0,50,8800000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-17,2024-06-14,1400000,0,50,8800000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-18,2024-06-14,1400000,0,29,8900000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-19,2024-06-14,1400000,0,50,8900000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-20,2024-06-14,1400000,0,51,8900000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-21,2024-06-14,1400000,0,52,9000000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-22,2024-06-14,1400000,0,52,9000000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-23,2024-06-14,1400000,0,52,9000000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-24,2024-06-14,1400000,0,52,9100000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-25,2024-06-14,1400000,0,52,9100000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-26,2024-06-14,1400000,0,52,9100000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-27,2024-06-14,1400000,0,52,9100000
$uicideboy$,Burgundy — $uicideboy$,tiktok,2024-06-28,2024-06-14,1400000,0,29,9100000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-02,2025-08-01,1800000,8,96,14700000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-03,2025-08-01,1800000,8,96,14900000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-04,2025-08-01,1800000,8,98,15000000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-05,2025-08-01,1800000,8,96,15000000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-06,2025-08-01,1800000,8,96,15100000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-07,2025-08-01,1800000,8,96,15200000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-08,2025-08-01,1900000,8,96,15200000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-09,2025-08-01,1900000,8,96,15200000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-10,2025-08-01,1900000,8,96,15200000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-11,2025-08-01,1900000,8,96,15300000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-12,2025-08-01,1900000,8,96,15300000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-13,2025-08-01,1900000,8,96,15300000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-14,2025-08-01,1900000,8,96,15300000
$uicideboy$,Count Your Blessings — $uicideboy$,tiktok,2025-08-15,2025-08-01,1900000,8,97,15300000
$uicideboy$,Napoleon — $uicideboy$,tiktok,2025-08-02,2025-08-01,1800000,8,96,14700000
$uicideboy$,Napoleon — $uicideboy$,tiktok,2025-08-03,2025-08-01,1800000,8,96,14900000
$uicideboy$,Napoleon — $uicideboy$,tiktok,2025-08-04,2025-08-01,1800000,8,98,15000000
$uicideboy$,Napoleon — $uicideboy$,tiktok,2025-08-05,2025-08-01,1800000,8,96,15000000
$uicideboy$,Napoleon — $uicideboy$,tiktok,2025-08-06,2025-08-01,1800000,8,96,15100000
$uicideboy$,Napoleon — $uicideboy$,tiktok,2025-08-07,2025-08-01,1800000,8,96,15200000
