artist,song_id,platform,date,release_date,subs,views
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-15,2024-06-14,4110000,3088969048
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-16,2024-06-14,4110000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-17,2024-06-14,4110000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-18,2024-06-14,4120000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-19,2024-06-14,4120000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-20,2024-06-14,4120000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-21,2024-06-14,4120000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-22,2024-06-14,4130000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-23,2024-06-14,4130000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-24,2024-06-14,4130000,3123850635
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-25,2024-06-14,4130000,3155212146
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-26,2024-06-14,4130000,3155212146
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-27,2024-06-14,4130000,3155212146
$uicideboy$,Burgundy — $uicideboy$,youtube,2024-06-28,2024-06-14,4130000,3155212146
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-02,2025-08-01,4570000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-03,2025-08-01,4570000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-04,2025-08-01,4580000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-05,2025-08-01,4580000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-06,2025-08-01,4580000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-07,2025-08-01,4580000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-08,2025-08-01,4580000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-09,2025-08-01,4580000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-10,2025-08-01,4590000,4151283245
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-11,2025-08-01,4590000,4193584692
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-12,2025-08-01,4590000,4193584692
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-13,2025-08-01,4590000,4193584692
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-14,2025-08-01,4590000,4193584692
$uicideboy$,Count Your Blessings — $uicideboy$,youtube,2025-08-15,2025-08-01,4590000,4193584692
$uicideboy$,Napoleon — $uicideboy$,youtube,2025-08-02,2025-08-01,4570000,4151283245
$uicideboy$,Napoleon — $uicideboy$,youtube,2025-08-03,2025-08-01,4570000,4151283245
$uicideboy$,Napoleon — $uicideboy$,youtube,2025-08-04,2025-08-01,4580000,4151283245
$uicideboy$,Napoleon — $uicideboy$,youtube,2025-08-05,2025-08-01,4580000,4151283245
$uicideboy$,Napoleon — $uicideboy$,youtube,2025-08-06,2025-08-01,4580000,4151283245
