artist,song_id,platform,date,release_date,subs,views,subs_keep,views_keep,t,subs_interp,views_interp
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-04,2023-03-03,1880000,445079033,True,True,1677888000000000000,1880000.0,445079033.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-05,2023-03-03,1880000,447843630,False,True,1677974400000000000,1883333.3333333333,447843630.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-06,2023-03-03,1880000,447843630,False,False,1678060800000000000,1886666.6666666667,450611959.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-07,2023-03-03,1890000,453380288,True,True,1678147200000000000,1890000.0,453380288.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-08,2023-03-03,1890000,456045233,False,True,1678233600000000000,1890000.0,456045233.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-09,2023-03-03,1890000,456045233,False,False,1678320000000000000,1890000.0,458531278.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-10,2023-03-03,1890000,461017323,False,True,1678406400000000000,1890000.0,461017323.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-11,2023-03-03,1890000,461621924,False,True,1678492800000000000,1890000.0,461621924.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-12,2023-03-03,1890000,465376648,False,True,1678579200000000000,1890000.0,465376648.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-13,2023-03-03,1890000,467218142,False,True,1678665600000000000,1890000.0,467218142.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-14,2023-03-03,1890000,469121650,False,True,1678752000000000000,1890000.0,469121650.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-15,2023-03-03,1890000,469121650,False,True,1678838400000000000,1890000.0,469121650.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-16,2023-03-03,1890000,450692676,False,False,1678924800000000000,1890000.0,459907163.0
Morgan Wallen,'98 Braves — Morgan Wallen,youtube,2023-03-17,2023-03-03,1890000,450692676,True,True,1679011200000000000,1890000.0,450692676.0
That Mexican OT,02.02.99 — That Mexican OT,youtube,2024-01-10,2024-01-09,945000,406339668,True,True,1704844800000000000,945000.0,406339668.0
That Mexican OT,02.02.99 — That Mexican OT,youtube,2024-01-11,2024-01-09,949000,406339668,True,False,1704931200000000000,949000.0,407911029.3333333
That Mexican OT,02.02.99 — That Mexican OT,youtube,2024-01-12,2024-01-09,952000,406339668,True,False,1705017600000000000,952000.0,409482390.6666667
