,date,artist,song_id,platform,release_date,followers,following,uploads,likes,was_inserted,tt_followers_diff_12m,tt_followers_diff_6m,tt_followers_diff_3m,tt_followers_diff_1m,tt_likes_diff_12m,tt_likes_diff_6m,tt_likes_diff_3m,tt_likes_diff_1m,tt_followers_diff_daily,tt_likes_diff_daily,tt_uploads_diff_daily
8784,2024-07-18,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,,,
8785,2024-07-19,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8786,2024-07-20,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8787,2024-07-21,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8788,2024-07-22,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8789,2024-07-23,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8790,2024-07-24,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8791,2024-07-25,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8792,2024-07-26,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8793,2024-07-27,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8794,2024-07-28,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8795,2024-07-29,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8796,2024-07-30,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8797,2024-07-31,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8798,2024-08-01,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8799,2024-08-02,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5100.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8800,2024-08-03,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5101.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8801,2024-08-04,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5101.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8802,2024-08-05,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8803,2024-08-06,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
8804,2024-08-07,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,,,,,,0.0,0.0,0.0
