,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
0,Lil Durk,lildurk,lildurk,@LilDurk
1,Vince Guaraldi Trio,vinceguaraldimusic,vinceguaraldi,@VinceGuaraldiMusic
2,Roddy Ricch,roddyricch,roddyricch,@RoddyRicch
3,Kelly Clarkson,kellyclarkson,kellyclarksonshow,@kellyclarkson
4,Acraze,acraze,acrazemusic,@ACRAZEOFFICIAL
5,Carolina Gaitan,lagaita,lagaitagaitan,@LaGaita
6,Jessica Darrow,jessdarrow_,jessdarrow_,@JessicaDarrowOfficial
7,V,thv,,
8,Muni Long,munilong,munilong,@MuniLong
9,Emmy Meli,emmymelimusic,emmymelimusic,@emmymelienergy
10,Ari Lennox,arilennox,arilennox,@arilennox
11,Dierks Bentley,dierksbentley,dierksbentley,@dierksbentley
12,Sam Hunt,samhuntmusic,samhuntmusic,@SamHunt
13,Stephanie Beatriz,stephaniebeatriz,stephaniebeatriz,
14,Diane Guerrero,dianexguerrero,,@DianeGuerrero
15,ERNEST,ernest,ernest,@ernest
16,Lauren Spencer-Smith,laurenspencersmith,laurenspencersmith,@laurenspencersmith
17,Sebastian Yatra,sebastianyatra,sebastianyatra,@SebastianYatra
18,Walker Hayes,walkerhayes,walkerhayesofficial,@WalkerHayes
19,Russell Dickerson,russelldickerson,russelldickersonofficial,@RussellDTV
20,Blake Shelton,blakeshelton,blakeshelton,@blakeshelton
21,YoungBoy Never Broke Again,nba_youngboy,nbayoungboy,@NbaYoungBoy
22,The Walters,thewalters_,thewaltersband,@TheWaltersBand
23,Carly Pearce,carlypearce,carlypearce,@CarlyPearceOfficial
24,Gunna,gunna,gunna,@GunnaOfficial
25,The Weeknd,theweeknd,theweeknd,@TheWeeknd
26,Maren Morris,marenmorris,marenmorris,@marenmorris
27,The Game,losangelesconfidential,losangelesconfidential,@TheGameVideo
28,Rod Wave,rodwave,rodwave,@RodWaveOfficial
29,Chris Brown,chrisbrownofficial,chrisbrownofficial,@ChrisBrownTV
30,Cole Swindell,coleswindell,coleswindellofficial,@ColeSwindell
31,Jason Aldean,jasonaldean,jasonaldeanmusic,@JasonAldean
32,JID,jidsv,jidsv,@jid6871
33,Charlie Puth,charlieputh,charlieputh,@charlieputh
34,Internet Money,internetmoneyrecords,internetmoney,@InternetMoneyRecords
35,Key Glock,keyglock,keyglockreal,@Gli5ock
36,Yung Bleu,bleuvandross,yungbleuvandross,@bleuvandross
37,Gucci Mane,laflare1017,icedaddy1017,@guccimane
38,The Chainsmokers,thechainsmokers,thechainsmokers,@THECHAINSMOKERS
39,Benny The Butcher,getbenny,bennythebutcher,@bennythebutcher9863
40,Fireboy DML,fireboydml,fireboydml,@fireboydml
41,Miranda Lambert,mirandalambert,mirandalambert,@mirandalambert
42,NLE Choppa,nlechoppamusic,nlethegreat1,@NLECHOPPA
43,XXXTENTACION,xxxtentacion,,@xxxtentacion
44,Em Beihold,embeihold,embeihold,@EmBeihold
45,Jaymes Young,jaymesyng,jaymesyoungofficial,@JaymesYoung
46,Tiesto,tiesto,tiesto,@tiesto
47,Megan Thee Stallion,theestallion,theestallion,@megantheestallion
48,Carlos Vives,carlosvives,carlosvives,@carlosvives
49,Nicki Minaj,nickiminaj,nickiminaj,@nickiminaj
50,King Von,kingvonfrmdao,kingvonfrmdao1,@kingvon8062
51,Juice WRLD,juicewrld999,juicewrld999,@JuiceWRLD
52,Tate McRae,tatemcrae,tatemcrae,@TateMcRae
53,YG,yg,yg,@YG-vj2kq
54,Machine Gun Kelly,machinegunkelly,mgk,@mgk
55,Red Hot Chili Peppers,chilipeppers,chilipeppers,@RedHotChiliPeppers
56,$NOT,snot,snot,@SNOT999
57,Queen Naija,queennaija,queennaija,@QueenNaija
58,Alesso,alesso,alesso,@alesso
59,Becky G,iambeckyg,iambeckyg,@beckyg
60,Ed Sheeran,teddysphotos,edsheeran,@EdSheeran
61,Future,,plutoouttahere,@officialfuturevideos
62,Fivio Foreign,fivioforeign_8fs,fivioforeign,@fivioforeign
63,Dove Cameron,dovecameron,dovecameron,@dove_cameron
64,Mary J. Blige,therealmaryjblige,maryjblige,@maryjbligemusic
65,Saweetie,saweetie,saweetie,@OfficialSaweetieMusic
66,Jung Kook,jungkook.97,jungkook,
67,Jack Harlow,jackharlow,missionaryjack,@JackHarlow
68,Yeat,yeat,,@yeatmusic3280
69,Jessie Murph,jessiemurphhh,jessiemurphhh,@JessieMurph
70,HARDY,hardy,hardy,@HARDYmusic
71,Tyga,tyga,tyga,@TygaTygaTV
72,Labrinth,labrinth,labrinth,@labrinth
73,Kodak Black,kodakblack,kodakblack,@KodakBlack
74,JNR CHOI,jnrchoi,jnrchoi,@JNRCHOI
75,Lil Shordie Scott,shordiescott,,@lilshordiescott
76,Camila Cabello,camila_cabello,camilacabello,@camilacabello
77,Russ,russ,russ,@russ
78,DaBaby,dababy,dababy,@dababy
79,Kevin Gates,iamkevingates,iamkevingates,@kevingatesTV
80,Nirvana,nirvana,,@nirvana
81,Imagine Dragons,imaginedragons,imaginedragons,@ImagineDragons
82,Coi Leray,coileray,coileray,@coileray
83,4*TOWN (From Disney And Pixar's Turning Red),,,
84,Carrie Underwood,carrieunderwood,carrieunderwood,@carrieunderwood
85,AnnenMayKantereit,annenmaykantereit,annenmaykantereit,@AnnenMayKantereit
86,Lucky Daye,iamluckydaye,luckydaye,@luckydaye9925
87,BoyWithUke,boywithuke,boywithuke,@boywithukeofficial
88,Yahritza Y Su Esencia,yahritzaysuesencia,yahritzaysuesencia,@YahritzaYSuEsencia
89,Daddy Yankee,daddyyankee,daddyyankee,@DaddyYankee
90,Anitta,anitta,anitta,@anitta
91,J Balvin,jbalvin,jbalvin,@jbalvin
92,Harry Styles,harrystyles,hshq,@HarryStyles
93,Lil Tjay,liltjay,liltjay,@liltjay
94,Shawn Mendes,shawnmendes,shawnmendes,@shawnmendes
95,Scotty McCreery,scottymccreery,scottymccreery,@smccreeryofficial
96,Parmalee,parmaleemusic,officialparmalee,@ParmaleeMusic
97,5 Seconds Of Summer,5sos,5sos,@5SOS
98,Rauw Alejandro,rauwalejandro,rauwalejandro,@RauwAlejandroTv
99,Lil Baby,lilbaby,lilbaby,@LilBabyATL
100,BIA,bia,bia,@BIABIAofficial
101,42 Dugg,42_dugggg,,@42duggmusic50
102,Chloe,chloebailey,chloebaileywashere,@chloebaileywashere
103,Pusha T,kingpush,pusha_t,@PUSHATgood
104,BRELAND,breland,breland,@Breland
105,Morgan Wallen,morganwallen,morganwallen,@morganwallen
106,Lizzo,lizzobeeating,lizzo,@Lizzo
107,Kay Flock,officialkayflocka,,@kayflock7152
108,6ix9ine,6ix9ine,6ix9ine,@6ix9ine
109,Kane Brown,kanebrown,kanebrown,@KaneBrown
110,Bailey Zimmerman,bailey.zimmerman,bailey.zimmerman,@BaileyZimmerman
111,The Kid LAROI,thekidlaroi,thekidlaroi,@TheKidLAROI
112,Karol G,karolg,karolg,@KarolG
113,Zach Bryan,zachlanebryan,zachlanebryan,@zachbryan1067
114,Southside,808mafiaboss,808mafiaboss,@808MafiaTV
115,Luke Combs,lukecombs,lukecombs,@lukecombs
116,Justin Bieber,lilbieber,justinbieber,@justinbieber
117,PSY,42psy42,42psy42,@officialpsy
118,Benson Boone,bensonboone,bensonboone,@BensonBoone
119,Sam Smith,samsmith,samsmith,@samsmith
120,Bad Bunny,badbunnypr,badbunny,@BadBunnyPR
121,Kendrick Lamar,kendricklamar,,@kendricklamar
122,Taylor Swift,taylorswift,taylorswift,@TaylorSwift
