,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
13,2022-01-01,14,Broadway Girls,Lil Durk Featuring Morgan Wallen,-,14,1,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
36,2022-01-01,37,Linus & Lucy,Vince Guaraldi Trio,-,37,1,Linus & Lucy — Vince Guaraldi Trio,Vince Guaraldi Trio
47,2022-01-01,48,Christmastime Is Here,Vince Guaraldi Trio,-,48,1,Christmastime Is Here — Vince Guaraldi Trio,Vince Guaraldi Trio
76,2022-01-01,77,25 Million,Roddy Ricch,-,77,1,25 Million — Roddy Ricch,Roddy Ricch
78,2022-01-01,79,Christmas Isn't Canceled (Just You),Kelly Clarkson,-,79,1,Christmas Isn't Canceled (Just You) — Kelly Clarkson,Kelly Clarkson
84,2022-01-01,85,Moved To Miami,Roddy Ricch Featuring Lil Baby,-,85,1,Moved To Miami — Roddy Ricch Featuring Lil Baby,Roddy Ricch
90,2022-01-01,91,Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage,-,91,1,Hibachi — Roddy Ricch Featuring Kodak Black & 21 Savage,Roddy Ricch
94,2022-01-01,95,Thailand,Roddy Ricch,-,95,1,Thailand — Roddy Ricch,Roddy Ricch
96,2022-01-01,97,Do It To It,Acraze Featuring Cherish,-,97,1,Do It To It — Acraze Featuring Cherish,Acraze
29,2022-01-08,30,Broadway Girls,Lil Durk Featuring Morgan Wallen,14,14,2,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
40,2022-01-08,41,Christmastime Is Here,Vince Guaraldi Trio,48,41,2,Christmastime Is Here — Vince Guaraldi Trio,Vince Guaraldi Trio
49,2022-01-08,50,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,50,1,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
53,2022-01-08,54,Surface Pressure,Jessica Darrow,-,54,1,Surface Pressure — Jessica Darrow,Jessica Darrow
78,2022-01-08,79,Christmas Tree,V,-,79,1,Christmas Tree — V,V
82,2022-01-08,83,Hrs And Hrs,Muni Long,-,83,1,Hrs And Hrs — Muni Long,Muni Long
86,2022-01-08,87,Do It To It,Acraze Featuring Cherish,97,87,2,Do It To It — Acraze Featuring Cherish,Acraze
91,2022-01-08,92,I Am Woman,Emmy Meli,-,92,1,I Am Woman — Emmy Meli,Emmy Meli
92,2022-01-08,93,Christmas Isn't Canceled (Just You),Kelly Clarkson,79,79,2,Christmas Isn't Canceled (Just You) — Kelly Clarkson,Kelly Clarkson
93,2022-01-08,94,Pressure,Ari Lennox,-,94,1,Pressure — Ari Lennox,Ari Lennox
95,2022-01-08,96,Beers On Me,"Dierks Bentley, Breland & HARDY",-,96,1,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
98,2022-01-08,99,23,Sam Hunt,-,99,1,23 — Sam Hunt,Sam Hunt
