song_id,title,artist,genres,song_length,release_date,entry_week_date,entry_week_pos,peak_pos,lifespan,yt_subs_release_date,yt_views_release_date,tt_followers_release_date,tt_uploads_release_date,tt_likes_release_date,ig_followers_release_date,ig_media_release_date,ig_media_cgr_4w,ig_followers_cgr_4w,tt_followers_cgr_4w,tt_uploads_cgr_4w,tt_likes_cgr_4w,yt_subs_cgr_4w,yt_views_cgr_4w,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Soak City (Do It) — 310babii,Soak City (Do It),310babii,['Hip-Hop/Rap'],1.9022666666666668,2023-06-03,2023-11-25,100,68,3,,,,,,,,,,,,,,,310babii,310.babii,@310babii,True,True,True,True
Nobody Like U — 4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),['Soundtrack'],2.9553833333333333,2019-11-27,2022-04-02,50,49,5,,,,,,,,,,,,,,,,,,False,False,False,False
"I Swear, I Really Wanted To Make A ""Rap"" Album But... — Andre 3000","I Swear, I Really Wanted To Make A ""Rap"" Album But...",Andre 3000,[],,,2023-12-02,90,90,1,,,,,,,,,,,,,,,andre3000,andre3000,@Andre-vc3pz,True,True,True,True
Sittin' On Top Of The World — Burna Boy,Sittin' On Top Of The World,Burna Boy,[],,,2023-09-09,80,80,3,,,,,,,,,,,,,,,burnaboygram,burnaboyofficial,@BurnaBoy,True,True,True,True
The Days — CHRYSTAL,The Days,CHRYSTAL,['Dance'],2.82355,2024-10-01,2025-01-25,97,83,6,3020.0,5192290.0,,,,,,,,,,,0.9461971413750936,0.7264687615217369,chrystal.archives,chrystal.archives,@chrystal_,True,True,True,True
Lithonia — Childish Gambino,Lithonia,Childish Gambino,['Pop'],2.9886666666666666,2024-07-02,2024-07-20,97,69,3,6650000.0,3398283048.0,,,,,,,,,,,0.016149463595649394,0.0357728285028891,childishgambino,donaldglover,@childishgambino,True,True,True,True
El Gordo Trae El Mando — Chino Pacas,El Gordo Trae El Mando,Chino Pacas,"['Música Mexicana', 'Latin']",1.8681166666666666,2023-01-27,2023-04-01,84,58,13,,,,,,,,,,,,,,,chinito_pacas,chinito_pacass,@ChinoPacas_,True,True,True,True
Winter Wonderland — Chloe,Winter Wonderland,Chloe,['Pop'],2.1149833333333334,2015-12-08,2023-12-30,96,87,2,,,,,,,,,,,,,,,chloebailey,chloebaileywashere,@chloebaileywashere,True,True,True,True
Sparks — Coldplay,Sparks,Coldplay,"['Alternative', 'Pop', 'Britpop', 'Rock', 'Adult Alternative', 'Indie Rock']",3.7849,2000-07-10,2025-06-28,93,79,5,,,,,,,,,,,,,,,coldplay,coldplay,@coldplay,True,True,True,True
Winter Wonderland — Darlene Love,Winter Wonderland,Darlene Love,"['Christmas: Classic', 'Holiday', 'Pop', 'Oldies']",2.4346666666666668,1963-11-22,2025-01-04,48,48,1,,,,,,,,,,,,,,,darlenelovesings,,@DarleneLove,True,False,True,True
