feature,mean_abs_shap,mean_shap,median_shap,max_shap,min_shap
log_ig_followers_release_date_x_ig_media_per_follower,0.057302187127705476,-0.024536637939552713,-0.0472463370407464,0.12434788665993383,-0.13776802968004354
Hip-Hop/Rap,0.044141955768615536,-0.01208049654401266,0.015965808272437477,0.07025626904816808,-0.1544380890024894
ig_followers_post2w_last,0.024425933807715766,-0.009510536111664298,-0.019992343050070218,0.05975180014898313,-0.04726310558688031
ig_media_full_nonpos_streak,0.024223090453088177,-0.007466071484139806,-0.014125604811332675,0.06533183602000069,-0.06713185363075821
ig_followers_post2w_max,0.02405455971418844,-0.008789050052270911,-0.019505970080426708,0.0583893950295981,-0.04508571253462078
log_ig_followers_release_date,0.023420566934569537,-0.010728501436902443,-0.019337196271681296,0.054877723012077786,-0.052143823455717324
tt_likes_30d_mean_over_180d_mean,0.021753717744377024,-0.009227249470038192,-0.011829587892425027,0.11796494734018535,-0.10666704473579405
yt_views_streak_balance_30d,0.02118277932908183,-0.006658890748459472,-0.014573212623452958,0.15139031285359197,-0.051097348462425016
yt_views_release_date_share_tt_yt,0.021042030109882256,-0.008667035493899439,-0.0018647928776889544,0.05884306000655813,-0.11112412415683877
ig_media_365d_nonpos_streak,0.020718008531835478,-0.00693033978556128,-0.012189892703317913,0.05589866707273837,-0.06556958958932656
yt_subs_release_date_share_main3,0.014289278069508419,-0.006541980913732715,-0.0036106689094932854,0.031126343404913034,-0.10928824710621259
tt_followers_release_date_share_main3,0.013636993141399819,-0.005940116080016502,-0.0034459455543700713,0.04842098861313859,-0.053158032053111204
has_tt,0.01144042730959296,-0.001247572833014027,0.00421452714694486,0.017232108385713766,-0.1511922553315824
ig_followers_post2w_cv,0.011297394106479678,-0.004906148603868945,-0.00745854842982223,0.035033752310624555,-0.029279902979136248
ig_followers_post2w_pct_min,0.00957401725396966,-0.0049656799537387475,-0.005390047488030933,0.029196873715222334,-0.047917582887447234
ig_media_180d_drawdown,0.00948320161524034,-0.004708250030175337,-0.0024111107283964024,0.03633543287430329,-0.07941870397587847
yt_subs_post2w_pct_mean,0.009330827418587444,-0.0033306242294302807,0.0013029656797476916,0.05006286602918376,-0.0576634370009391
yt_subs_post2w_cv,0.008820583016181237,-0.0038520461737318276,-2.1712679707012376e-05,0.05113472288391506,-0.06170592300359394
ig_media_stagnation_over_level_30d,0.008807795289669513,-0.004473486101702305,-0.005660130191070835,0.039964955888543506,-0.04449436150884463
log_yt_subs_release_date,0.007703681099936465,-0.005183758990097598,-0.004417891941549665,0.019154704937682187,-0.031019538718794697
