artist,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Lil Durk,lildurk,lildurk,@LilDurk,True,True,True,True
Vince Guaraldi Trio,vinceguaraldimusic,vinceguaraldi,@VinceGuaraldiMusic,True,True,True,True
Roddy Ricch,roddyricch,roddyricch,@RoddyRicch,True,True,True,True
Kelly Clarkson,kellyclarkson,kellyclarkson,@kellyclarkson,True,True,True,True
Acraze,acraze,acrazemusic,@ACRAZEOFFICIAL,True,True,True,True
Carolina Gaitan,lagaita,lagaitagaitan,@LaGaita,True,True,True,True
Jessica Darrow,jessdarrow_,jessdarrow_,@JessicaDarrowOfficial,True,True,True,True
V,thv,,,True,False,False,True
Muni Long,munilong,munilong,@MuniLong,True,True,True,True
Emmy Meli,emmymelimusic,emmymelimusic,@emmymelienergy,True,True,True,True
Ari Lennox,arilennox,arilennox,@arilennox,True,True,True,True
Dierks Bentley,dierksbentley,dierksbentley,@dierksbentley,True,True,True,True
Sam Hunt,samhuntmusic,samhuntmusic,@SamHunt,True,True,True,True
Stephanie Beatriz,stephaniebeatriz,stephaniebeatriz,,True,True,False,True
Diane Guerrero,dianexguerrero,,@DianeGuerrero,True,False,True,True
ERNEST,ernest,ernest,@ernest,True,True,True,True
Lauren Spencer-Smith,laurenspencersmith,laurenspencersmith,@laurenspencersmith,True,True,True,True
Sebastian Yatra,sebastianyatra,sebastianyatra,@SebastianYatra,True,True,True,True
Walker Hayes,walkerhayes,walkerhayesofficial,@WalkerHayes,True,True,True,True
Russell Dickerson,russelldickerson,russelldickersonofficial,@RussellDTV,True,True,True,True
Blake Shelton,blakeshelton,blakeshelton,@blakeshelton,True,True,True,True
YoungBoy Never Broke Again,nba_youngboy,nbayoungboy,@NbaYoungBoy,True,True,True,True
The Walters,thewalters_,thewaltersband,@TheWaltersBand,True,True,True,True
Carly Pearce,carlypearce,carlypearce,@CarlyPearceOfficial,True,True,True,True
Gunna,gunna,gunna,@GunnaOfficial,True,True,True,True
The Weeknd,theweeknd,theweeknd,@TheWeeknd,True,True,True,True
Maren Morris,marenmorris,marenmorris,@marenmorris,True,True,True,True
The Game,losangelesconfidential,losangelesconfidential,@TheGameVideo,True,True,True,True
Rod Wave,rodwave,rodwave,@RodWaveOfficial,True,True,True,True
Chris Brown,chrisbrownofficial,chrisbrownofficial,@ChrisBrownTV,True,True,True,True
Cole Swindell,coleswindell,coleswindellofficial,@ColeSwindell,True,True,True,True
Jason Aldean,jasonaldean,jasonaldeanmusic,@JasonAldean,True,True,True,True
JID,jidsv,jidsv,@jid6871,True,True,True,True
Charlie Puth,charlieputh,charlieputh,@charlieputh,True,True,True,True
Internet Money,internetmoneyrecords,internetmoney,@InternetMoneyRecords,True,True,True,True
Key Glock,keyglock,keyglockreal,@Gli5ock,True,True,True,True
Yung Bleu,bleuvandross,yungbleuvandross,@bleuvandross,True,True,True,True
Gucci Mane,laflare1017,icedaddy1017,@guccimane,True,True,True,True
The Chainsmokers,thechainsmokers,thechainsmokers,@THECHAINSMOKERS,True,True,True,True
Benny The Butcher,getbenny,bennythebutcher,@bennythebutcher9863,True,True,True,True
Fireboy DML,fireboydml,fireboydml,@fireboydml,True,True,True,True
Miranda Lambert,mirandalambert,mirandalambert,@mirandalambert,True,True,True,True
NLE Choppa,thegreatnle,nlethegreat1,@NLECHOPPA,True,True,True,True
XXXTENTACION,xxxtentacion,,@xxxtentacion,True,False,True,True
Em Beihold,embeihold,embeihold,@EmBeihold,True,True,True,True
Jaymes Young,jaymesyng,jaymesyoungofficial,@JaymesYoung,True,True,True,True
Tiesto,tiesto,tiesto,@tiesto,True,True,True,True
Megan Thee Stallion,theestallion,theestallion,@megantheestallion,True,True,True,True
Carlos Vives,carlosvives,carlosvives,@carlosvives,True,True,True,True
Nicki Minaj,nickiminaj,nickiminaj,@nickiminaj,True,True,True,True
King Von,kingvonfrmdao,kingvonfrmdao1,@kingvon8062,True,True,True,True
Juice WRLD,juicewrld999,juicewrld999,@JuiceWRLD,True,True,True,True
Tate McRae,tatemcrae,tatemcrae,@TateMcRae,True,True,True,True
YG,yg,yg,@YG-vj2kq,True,True,True,True
Machine Gun Kelly,machinegunkelly,mgk,@mgk,True,True,True,True
Red Hot Chili Peppers,chilipeppers,chilipeppers,@RedHotChiliPeppers,True,True,True,True
$NOT,snot,snot,@SNOT999,True,True,True,True
Queen Naija,queennaija,queennaija,@QueenNaija,True,True,True,True
Alesso,alesso,alesso,@alesso,True,True,True,True
Becky G,iambeckyg,iambeckyg,@beckyg,True,True,True,True
Ed Sheeran,teddysphotos,edsheeran,@EdSheeran,True,True,True,True
Future,,plutoouttahere,@officialfuturevideos,False,True,True,True
Fivio Foreign,fivioforeign_8fs,fivioforeign,@fivioforeign,True,True,True,True
Dove Cameron,dovecameron,dovecameron,@dove_cameron,True,True,True,True
Mary J. Blige,therealmaryjblige,maryjblige,@maryjbligemusic,True,True,True,True
Saweetie,saweetie,saweetie,@OfficialSaweetieMusic,True,True,True,True
Jung Kook,mnijungkook,jungkook,,True,True,False,True
Jack Harlow,jackharlow,missionaryjack,@JackHarlow,True,True,True,True
Yeat,yeat,,@yeatmusic3280,True,False,True,True
Jessie Murph,jessiemurphhh,jessiemurphhh,@JessieMurph,True,True,True,True
HARDY,hardy,hardy,@HARDYmusic,True,True,True,True
Tyga,tyga,tyga,@TygaTygaTV,True,True,True,True
Labrinth,labrinth,labrinth,@labrinth,True,True,True,True
Kodak Black,kodakblack,kodakblack,@KodakBlack,True,True,True,True
JNR CHOI,jnrchoi,jnrchoi,@JNRCHOI,True,True,True,True
Lil Shordie Scott,shordiescott,,@lilshordiescott,True,False,True,True
Camila Cabello,camila_cabello,camilacabello,@camilacabello,True,True,True,True
Russ,russ,russ,@russ,True,True,True,True
DaBaby,dababy,dababy,@dababy,True,True,True,True
Kevin Gates,iamkevingates,iamkevingates,@kevingatesTV,True,True,True,True
Nirvana,,,@nirvana,False,False,True,True
Imagine Dragons,imaginedragons,imaginedragons,@ImagineDragons,True,True,True,True
Coi Leray,coileray,coileray,@coileray,True,True,True,True
4*TOWN (From Disney And Pixar's Turning Red),,,,False,False,False,False
Carrie Underwood,carrieunderwood,carrieunderwood,@carrieunderwood,True,True,True,True
AnnenMayKantereit,annenmaykantereit,annenmaykantereit,@AnnenMayKantereit,True,True,True,True
Lucky Daye,iamluckydaye,luckydaye,@luckydaye9925,True,True,True,True
BoyWithUke,boywithuke,boywithuke,@boywithukeofficial,True,True,True,True
Yahritza Y Su Esencia,yahritzaysuesencia,yahritzaysuesencia,@YahritzaYSuEsencia,True,True,True,True
Daddy Yankee,daddyyankee,daddyyankee,@DaddyYankee,True,True,True,True
Anitta,anitta,anitta,@anitta,True,True,True,True
J Balvin,jbalvin,jbalvin,@jbalvin,True,True,True,True
Harry Styles,harrystyles,hshq,@HarryStyles,True,True,True,True
Lil Tjay,liltjay,liltjay,@liltjay,True,True,True,True
Shawn Mendes,shawnmendes,shawnmendes,@shawnmendes,True,True,True,True
Scotty McCreery,scottymccreery,scottymccreery,@smccreeryofficial,True,True,True,True
Parmalee,parmaleemusic,officialparmalee,@ParmaleeMusic,True,True,True,True
5 Seconds Of Summer,5sos,5sos,@5SOS,True,True,True,True
Rauw Alejandro,rauwalejandro,rauwalejandro,@RauwAlejandroTv,True,True,True,True
Lil Baby,lilbaby,lilbaby,@LilBabyATL,True,True,True,True
BIA,bia,bia,@BIABIAofficial,True,True,True,True
42 Dugg,42_dugggg,,@42duggmusic50,True,False,True,True
Chloe,chloebailey,chloebaileywashere,@chloebaileywashere,True,True,True,True
Pusha T,kingpush,pusha_t,@PUSHATgood,True,True,True,True
BRELAND,breland,breland,@Breland,True,True,True,True
Morgan Wallen,morganwallen,morganwallen,@morganwallen,True,True,True,True
Lizzo,lizzobeeating,lizzo,@Lizzo,True,True,True,True
Kay Flock,officialkayflocka,,@kayflock7152,True,False,True,True
6ix9ine,6ix9ine,6ix9ine,@6ix9ine,True,True,True,True
Kane Brown,kanebrown,kanebrown,@KaneBrown,True,True,True,True
Bailey Zimmerman,bailey.zimmerman,bailey.zimmerman,@BaileyZimmerman,True,True,True,True
The Kid LAROI,thekidlaroi,thekidlaroi,@TheKidLAROI,True,True,True,True
Karol G,karolg,karolg,@KarolG,True,True,True,True
Zach Bryan,zachlanebryan,zachlanebryan,@zachbryan1067,True,True,True,True
Southside,808mafiaboss,808mafiaboss,@808MafiaTV,True,True,True,True
Luke Combs,lukecombs,lukecombs,@lukecombs,True,True,True,True
Justin Bieber,lilbieber,justinbieber,@justinbieber,True,True,True,True
PSY,42psy42,42psy42,@officialpsy,True,True,True,True
Benson Boone,bensonboone,bensonboone,@BensonBoone,True,True,True,True
Sam Smith,samsmith,samsmith,@samsmith,True,True,True,True
Bad Bunny,badbunnypr,badbunny,@BadBunnyPR,True,True,True,True
Kendrick Lamar,kendricklamar,,@kendricklamar,True,False,True,True
Taylor Swift,taylorswift,taylorswift,@TaylorSwift,True,True,True,True
Lady Gaga,ladygaga,ladygaga,@LadyGaga,True,True,True,True
Nate Smith,natesmith,natesmithmusic,@natesmithmusic,True,True,True,True
Post Malone,postmalone,postmalone,@postmalone,True,True,True,True
Quavo,quavohuncho,quavohuncho,@quavohuncho5077,True,True,True,True
Ella Mai,ellamai,ellamai,@ellamai,True,True,True,True
Kanye West,kanyewest,ye,@kanyewest,True,True,True,True
SleazyWorld Go,sleazyworld_go,sleazyyworld_go,@sleazyworld_go,True,True,True,True
Moneybagg Yo,moneybaggyo,moneybaggyo,@MoneyBaggYoOfficial,True,True,True,True
Sleepy Hallow,_sleepyhallow_,sleepyhallowx3,@SleepyHallow,True,True,True,True
Calvin Harris,calvinharris,calvinharris,@CalvinHarris,True,True,True,True
Nicky Youre,nickyyoure,nickyyoure,@NickyYoure,True,True,True,True
Hitkidd,hitkidd,,@HitkiddWIDM,True,False,True,True
Keith Urban,keithurban,keithurban,@KeithUrban,True,True,True,True
Jon Pardi,jonpardi,jonpardi,@JonPardi,True,True,True,True
Tim McGraw,thetimmcgraw,timmcgraw,@timmcgraw,True,True,True,True
Stephen Sanchez,stephensanchezofficial,stephensanchezofficial,@stephensanchezofficial,True,True,True,True
Polo G,polo.capalot,pologofficial,@polog,True,True,True,True
Doja Cat,dojacat,dojacat,@dojacat,True,True,True,True
Shakira,shakira,shakira,@Shakira,True,True,True,True
Joji,sushitrash,joji,@joji,True,True,True,True
BTS,bts.bighitofficial,bts_official_bighit,@BTS,True,True,True,True
Pharrell Williams,pharrell,pharrell,@Pharrell,True,True,True,True
Halsey,iamhalsey,halsey,@halsey,True,True,True,True
OneRepublic,onerepublic,onerepublic,@OneRepublic,True,True,True,True
Tyler Hubbard,tylerhubbard,tylerhubbard,@TylerHubbardOfficial,True,True,True,True
Dylan Scott,dylanscottcountry,dylanscottcountry,@DylanScottCountry,True,True,True,True
Drake,champagnepapi,,@DrakeOfficial,True,False,True,True
Beyonce,beyonce,beyonce,@beyonce,True,True,True,True
Corey Kent,coreykent,coreykent,@CoreyKentofficial,True,True,True,True
Lil Nas X,lilnasx,lilnasx,@lilnasx,True,True,True,True
Eminem,eminem,eminem,@eminem,True,True,True,True
Cardi B,iamcardib,iamcardib,@cardib,True,True,True,True
Metallica,metallica,metallica,@metallica,True,True,True,True
Jelly Roll,jellyroll615,officialjellyroll,@JellyRoll,True,True,True,True
City Girls,citygirls,citygirls,@CityGirls,True,True,True,True
Ingrid Andress,ingridandress,ingridandress,@IngridAndress,True,True,True,True
Luke Bryan,lukebryan,lukebryan,@lukebryan,True,True,True,True
j-hope,uarmyhope,iamurhope,,True,True,False,True
Marshmello,marshmello,marshmello,@marshmello,True,True,True,True
Jake Owen,jakeowenofficial,jakeowen,@jakeowen,True,True,True,True
