,song_id,main_artist,main_artist_ig,main_artist_yt,main_artist_tt
0,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk,lildurk,@LilDurk,lildurk
1,Linus & Lucy — Vince Guaraldi Trio,Vince Guaraldi Trio,vinceguaraldimusic,@VinceGuaraldiMusic,vinceguaraldi
2,Christmastime Is Here — Vince Guaraldi Trio,Vince Guaraldi Trio,vinceguaraldimusic,@VinceGuaraldiMusic,vinceguaraldi
3,25 Million — Roddy Ricch,Roddy Ricch,roddyricch,@RoddyRicch,roddyricch
4,Christmas Isn't Canceled (Just You) — Kelly Clarkson,Kelly Clarkson,kellyclarkson,@kellyclarkson,kellyclarksonshow
5,Moved To Miami — Roddy Ricch Featuring Lil Baby,Roddy Ricch,roddyricch,@RoddyRicch,roddyricch
6,Hibachi — Roddy Ricch Featuring Kodak Black & 21 Savage,Roddy Ricch,roddyricch,@RoddyRicch,roddyricch
7,Thailand — Roddy Ricch,Roddy Ricch,roddyricch,@RoddyRicch,roddyricch
8,Do It To It — Acraze Featuring Cherish,Acraze,acraze,@ACRAZEOFFICIAL,acrazemusic
9,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan,lagaita,@LaGaita,lagaitagaitan
10,Surface Pressure — Jessica Darrow,Jessica Darrow,jessdarrow_,@JessicaDarrowOfficial,jessdarrow_
11,Christmas Tree — V,V,thv,,
12,Hrs And Hrs — Muni Long,Muni Long,munilong,@MuniLong,munilong
13,I Am Woman — Emmy Meli,Emmy Meli,emmymelimusic,@emmymelienergy,emmymelimusic
14,Pressure — Ari Lennox,Ari Lennox,arilennox,@arilennox,arilennox
15,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley,dierksbentley,@dierksbentley,dierksbentley
16,23 — Sam Hunt,Sam Hunt,samhuntmusic,@SamHunt,samhuntmusic
17,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz,stephaniebeatriz,,stephaniebeatriz
18,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero,dianexguerrero,@DianeGuerrero,
19,Flower Shops — ERNEST Featuring Morgan Wallen,ERNEST,ernest,@ernest,ernest
20,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith,laurenspencersmith,@laurenspencersmith,laurenspencersmith
21,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz,stephaniebeatriz,,stephaniebeatriz
22,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra,sebastianyatra,@SebastianYatra,sebastianyatra
23,AA — Walker Hayes,Walker Hayes,walkerhayes,@WalkerHayes,walkerhayesofficial
24,Home Sweet — Russell Dickerson,Russell Dickerson,russelldickerson,@RussellDTV,russelldickersonofficial
25,Come Back As A Country Boy — Blake Shelton,Blake Shelton,blakeshelton,@blakeshelton,blakeshelton
26,Black Ball — YoungBoy Never Broke Again & Birdman,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
27,I Love You So — The Walters,The Walters,thewalters_,@TheWaltersBand,thewaltersband
28,Never Wanted To Be That Girl — Carly Pearce & Ashley McBryde,Carly Pearce,carlypearce,@CarlyPearceOfficial,carlypearce
