feature,importance_mean,importance_std
log_ig_followers_release_date,0.09130256068642986,0.00931087204654996
yt_views_streak_balance_30d,0.025816256666719883,0.005526781774690796
Country,0.02381867554226858,0.0049399532202324915
tt_followers_post2w_pos_streak,0.020845915466184854,0.004037963397869394
K-Pop,0.020743143374466273,0.0042633338953946736
Pop,0.019709633882036254,0.00468324595446398
Hip-Hop/Rap,0.016153884435827288,0.003357782265337806
Latin,0.008907209128103121,0.0025132886728523106
log_tt_followers_release_date,0.007657151880233537,0.0021726140094172454
tt_uploads_recency_cv_30_over_90,0.005738222065198939,0.0019279669705625077
ig_media_streak_balance_30d,0.004738011767076733,0.0018475361752174045
ig_followers_30d_pct_change_over_tt_likes_30d_pct_change,0.004686960094540243,0.001666392050865462
Rock,0.0041087535619707015,0.0015149281494634245
R&B/Soul,0.0036453294790464662,0.001677496208413809
tt_likes_per_upload,0.0035546470263557286,0.0020272911885566352
Holiday,0.0035125807923197415,0.0016217717870149887
has_ig,0.003194184816404655,0.001327685496762753
Metal,0.0027170359722711313,0.0011712819270592956
tt_uploads_365d_min,0.0022139985276414254,0.001245367640681613
tt_followers_180d_pos_streak,0.002100784664565941,0.0010193245426960969
tt_uploads_full_min,0.002032781418147156,0.001174556087308481
Alternative,0.0019343268175485485,0.0011888477944785928
ig_media_stagnation_over_level_30d,0.0018518650566774152,0.0014069987675030446
Rap,0.0018391586168470865,0.0008510374186797371
tt_uploads_recency_std_30_over_90,0.0017923670910731215,0.0011131212971062154
yt_subs_post2w_cv,0.0014791805975429562,0.0006764192388456704
tt_uploads_365d_nonpos_streak,0.0012935201027931276,0.0007123027213843177
ig_media_recency_cv_30_over_90,0.001261548691988601,0.000875719774517673
tt_uploads_full_nonpos_streak,0.0012069085414725567,0.0006814666195229607
Jazz,0.0011903586033737423,0.0007942922475514983
Alte,0.0011190655037036812,0.0007586145995604691
Traditional Country,0.001106353857014053,0.0009013830777199715
Bass,0.001027185359627736,0.0006591270653755728
House,0.0009659331081611156,0.0006324466146860802
ig_media_365d_nonpos_streak,0.0005778512182775753,0.0007042841461635295
ig_media_full_nonpos_streak,0.0005367057884177129,0.0006702310221163814
song_length,0.0005273450222038623,0.0002888419134726043
Indie Pop,0.0005173788958743097,0.0005386447135706842
ig_media_90d_nonpos_streak,0.0004900503947340262,0.0005572520314921988
