feature_set,model,n_features,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2
baseline_plus_all_screened,elastic_net,180,0.7653450260471432,0.044126712372342725,0.9256082036995344,0.043384775725508064,0.10746295185857793,0.05795880268218648
all_screened_no_entry_week_pos,elastic_net,180,0.7653450260471432,0.044126712372342725,0.9256082036995344,0.043384775725508064,0.10746295185857793,0.05795880268218648
baseline_plus_top_ts,elastic_net,164,0.7696751451256001,0.04100860704019718,0.9291017157144903,0.04189122707826546,0.10031894770993029,0.0624026558533716
baseline_plus_top_interactions,elastic_net,85,0.7721890715042049,0.04362955984450882,0.9284313802602003,0.04275987680443901,0.10321412493523582,0.032559392685860555
baseline_only,elastic_net,69,0.7771063653418533,0.038045982120786845,0.9314819115763344,0.03989464347494526,0.09717349188318428,0.02962633177559894
baseline_only,extra_trees,69,0.7879954763679322,0.03487534343836806,0.9425459453057619,0.026567360362478303,0.07476121139641487,0.02583374329509299
baseline_plus_top_ts,gradient_boosting,164,0.7945736115469947,0.03330165849153494,0.9537491901143287,0.030447645037718497,0.05125335302425142,0.058825323340797
baseline_only,gradient_boosting,69,0.7947339439518387,0.03304119189155247,0.9590503270424046,0.022341675549406824,0.04055641969177195,0.055631059224625544
baseline_plus_all_screened,gradient_boosting,180,0.7954075851548222,0.029988080938472696,0.9558895644987452,0.03176568776540353,0.046079906655611944,0.07390645851568023
all_screened_no_entry_week_pos,gradient_boosting,180,0.7954075851548222,0.029988080938472696,0.9558895644987452,0.03176568776540353,0.046079906655611944,0.07390645851568023
interactions_only,extra_trees,16,0.7954106677328294,0.025825890098809128,0.9356046781203216,0.03406790434633933,0.08780297420225391,0.05114047163368328
baseline_plus_top_interactions,extra_trees,85,0.797935308126774,0.03593503778149448,0.9479468993574297,0.027264272396115785,0.0639091771530556,0.03433079382443821
all_screened_no_entry_week_pos,random_forest,180,0.7987344603615183,0.02940487363345282,0.9414581954819733,0.031155839409541457,0.07614423573424707,0.05132758422864907
baseline_plus_all_screened,random_forest,180,0.7987344603615183,0.02940487363345282,0.9414581954819733,0.031155839409541457,0.07614423573424703,0.0513275842286491
time_series_only,elastic_net,95,0.7996130064714844,0.012237554577407234,0.9548692334205899,0.016685839278439685,0.04884230483675904,0.05257433294520739
baseline_only,random_forest,69,0.8003672212221546,0.035406757282295316,0.9524504138556658,0.032420471805397325,0.054328278544039724,0.055912685902330374
baseline_plus_top_ts,random_forest,164,0.8007988885124387,0.027629289577002458,0.9432743391044225,0.027783470262721967,0.0724571577087914,0.0497584920658282
baseline_plus_top_interactions,random_forest,85,0.8064434011053947,0.0338485125857531,0.9540798186020376,0.02966332209933762,0.05101277774320996,0.053424438278754684
baseline_only,hist_gradient_boosting,69,0.808018171570339,0.04325340591396062,0.9834446101316846,0.03183680147257756,-0.008745596538977173,0.06473091369331263
baseline_plus_top_interactions,gradient_boosting,85,0.8084019181076376,0.03854894133174031,0.9777366086521587,0.03690383894348483,-0.002249451608561559,0.12528636981229888
interactions_only,elastic_net,16,0.809402584449224,0.02616314053913769,0.9582717068900524,0.03233973178027148,0.04391889414214065,0.02860897272836213
baseline_plus_all_screened,hist_gradient_boosting,180,0.8122475177725311,0.03651600460420955,0.9768676009171511,0.031505016397088935,0.002628424567571552,0.0921668217660573
all_screened_no_entry_week_pos,hist_gradient_boosting,180,0.8122475177725311,0.03651600460420955,0.9768676009171511,0.031505016397088935,0.002628424567571552,0.0921668217660573
baseline_plus_all_screened,extra_trees,180,0.8148572702716239,0.04356391611642289,0.9646004001828906,0.03342060457288639,0.02761275962114811,0.09287262730096232
all_screened_no_entry_week_pos,extra_trees,180,0.8148572702716239,0.04356391611642297,0.9646004001828906,0.03342060457288639,0.02761275962114802,0.0928726273009624
baseline_plus_top_ts,extra_trees,164,0.8163621418325315,0.04875287001330124,0.9678903259088377,0.03676860067388826,0.021087136496952753,0.09501486693502421
interactions_only,random_forest,16,0.819026257243976,0.018903508369370624,0.9696149856180277,0.020616029885539316,0.018972799953371,0.06136422548220778
baseline_plus_top_interactions,hist_gradient_boosting,85,0.819065420723611,0.04265177394013644,0.9931850264298756,0.04626711859269006,-0.0320890811810002,0.11995467435978797
time_series_only,random_forest,95,0.8243589000291177,0.022054278284691437,0.9712203281025843,0.02391746882413442,0.016782098381484346,0.0445735264782821
baseline_plus_top_ts,hist_gradient_boosting,164,0.8296701376802214,0.04615371537074014,0.9961062211849718,0.041174676315117224,-0.036577379421745285,0.10044358640599237
time_series_only,gradient_boosting,95,0.8323753628117927,0.017654846369924884,0.990546055040156,0.025699928195162786,-0.024836099947915424,0.0815903784448253
time_series_only,extra_trees,95,0.8327088989148205,0.019448332100016813,0.980905045352365,0.00978868233544073,-0.0044649411170842425,0.064155954051714
interactions_only,gradient_boosting,16,0.8458529657751042,0.012343841608461085,1.012033693220708,0.027864635303731074,-0.07175867484730511,0.10782071461442813
interactions_only,hist_gradient_boosting,16,0.8469451157107413,0.038331817666207635,1.0229794231453528,0.037819332307763284,-0.09919524642344843,0.15052878331915132
time_series_only,hist_gradient_boosting,95,0.8660659280613258,0.036068125507513975,1.0333876889340228,0.045342209893375264,-0.11493654563217688,0.09552900656437835
