,chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
0,2022-01-01,1,All I Want For Christmas Is You,Mariah Carey,1,1,50
1,2022-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,44
2,2022-01-01,3,Jingle Bell Rock,Bobby Helms,4,3,41
3,2022-01-01,4,A Holly Jolly Christmas,Burl Ives,5,4,25
4,2022-01-01,5,Easy On Me,Adele,3,1,11
5,2022-01-01,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,26
6,2022-01-01,7,Last Christmas,Wham!,9,7,24
7,2022-01-01,8,Feliz Navidad,Jose Feliciano,11,6,19
8,2022-01-01,9,Stay,The Kid LAROI & Justin Bieber,6,1,24
9,2022-01-01,10,Sleigh Ride,The Ronettes,13,10,15
10,2022-01-01,11,The Christmas Song (Merry Christmas To You),Nat King Cole,15,11,31
11,2022-01-01,12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,17,8,18
12,2022-01-01,13,Underneath The Tree,Kelly Clarkson,18,12,14
13,2022-01-01,14,Broadway Girls,Lil Durk Featuring Morgan Wallen,-,14,1
14,2022-01-01,15,Heat Waves,Glass Animals,8,7,49
15,2022-01-01,16,Christmas (Baby Please Come Home),Darlene Love,25,16,11
16,2022-01-01,17,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,19,12,11
17,2022-01-01,18,Santa Tell Me,Ariana Grande,24,17,12
18,2022-01-01,19,Rudolph The Red-Nosed Reindeer,Gene Autry,21,16,16
19,2022-01-01,20,Happy Holiday / The Holiday Season,Andy Williams,22,18,12
20,2022-01-01,21,White Christmas,Bing Crosby,27,12,24
21,2022-01-01,22,Industry Baby,Lil Nas X & Jack Harlow,10,1,22
22,2022-01-01,23,Shivers,Ed Sheeran,12,5,15
23,2022-01-01,24,Need To Know,Doja Cat,14,8,28
24,2022-01-01,25,Run Rudolph Run,Chuck Berry,32,10,13
25,2022-01-01,26,Super Gremlin,Kodak Black,20,20,7
26,2022-01-01,27,abcdefu,GAYLE,16,15,5
27,2022-01-01,28,(There's No Place Like) Home For The Holidays,Perry Como,28,22,11
28,2022-01-01,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,23,11,16
29,2022-01-01,30,It's Beginning To Look A Lot Like Christmas,Michael Buble,36,20,9
30,2022-01-01,31,Bad Habits,Ed Sheeran,26,2,26
31,2022-01-01,32,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),30,5,7
32,2022-01-01,33,Jingle Bells,Frank Sinatra,-,33,3
33,2022-01-01,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,44,32,4
34,2022-01-01,35,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,50,35,2
35,2022-01-01,36,Wonderful Christmastime,Paul McCartney,41,28,6
36,2022-01-01,37,Linus & Lucy,Vince Guaraldi Trio,-,37,1
37,2022-01-01,38,Good 4 U,Olivia Rodrigo,33,1,32
38,2022-01-01,39,Ghost,Justin Bieber,37,32,13
39,2022-01-01,40,Please Come Home For Christmas,Eagles,-,18,10
40,2022-01-01,41,Santa Claus Is Comin' To Town,Jackson 5,-,41,2
41,2022-01-01,42,I Hate U,SZA,31,7,3
42,2022-01-01,43,Little Saint Nick,The Beach Boys,-,43,2
43,2022-01-01,44,Mistletoe,Justin Bieber,49,11,12
44,2022-01-01,45,Fancy Like,Walker Hayes,35,3,27
45,2022-01-01,46,Deck The Halls,Nat King Cole,-,43,3
46,2022-01-01,47,Have Yourself A Merry Little Christmas,Michael Buble,-,47,2
47,2022-01-01,48,Christmastime Is Here,Vince Guaraldi Trio,-,48,1
48,2022-01-01,49,Thats What I Want,Lil Nas X,45,10,14
49,2022-01-01,50,One Right Now,Post Malone & The Weeknd,38,6,7
50,2022-01-01,51,Happier Than Ever,Billie Eilish,43,11,21
51,2022-01-01,52,Love Nwantiti (Ah Ah Ah),CKay,47,31,14
52,2022-01-01,53,Knife Talk,Drake Featuring 21 Savage & Project Pat,48,4,16
53,2022-01-01,54,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,52,30,19
54,2022-01-01,55,Merry Christmas,Ed Sheeran & Elton John,66,55,3
55,2022-01-01,56,Better Days,NEIKED X Mae Muller X Polo G,53,29,10
56,2022-01-01,57,Oh My God,Adele,51,5,5
57,2022-01-01,58,Way 2 Sexy,Drake Featuring Future & Young Thug,46,1,16
58,2022-01-01,59,Buy Dirt,Jordan Davis Featuring Luke Bryan,57,30,20
59,2022-01-01,60,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,58,21,15
60,2022-01-01,61,You Should Probably Leave,Chris Stapleton,61,39,25
61,2022-01-01,62,Christmas Tree Farm (Old Timey Version),Taylor Swift,81,62,4
62,2022-01-01,63,Pick Out A Christmas Tree,Dan + Shay,79,63,4
63,2022-01-01,64,Whiskey And Rain,Michael Ray,65,61,12
64,2022-01-01,65,Girls Want Girls,Drake Featuring Lil Baby,60,2,16
65,2022-01-01,66,Sand In My Boots,Morgan Wallen,67,32,23
66,2022-01-01,67,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",62,17,11
67,2022-01-01,68,All Too Well (Taylor's Version),Taylor Swift,59,1,6
68,2022-01-01,69,Big Energy,Latto,71,69,9
69,2022-01-01,70,Enemy,Imagine Dragons X JID,68,68,5
70,2022-01-01,71,I'll Be Home For Christmas,Camila Cabello,83,71,3
71,2022-01-01,72,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,73,53,13
72,2022-01-01,73,One Mississippi,Kane Brown,77,59,13
73,2022-01-01,74,Burn,Juice WRLD,34,34,2
74,2022-01-01,75,Have Mercy,Chloe,70,28,15
75,2022-01-01,76,Woman,Doja Cat,78,62,21
76,2022-01-01,77,25 Million,Roddy Ricch,-,77,1
77,2022-01-01,78,By Your Side,Rod Wave,69,58,4
78,2022-01-01,79,Christmas Isn't Canceled (Just You),Kelly Clarkson,-,79,1
79,2022-01-01,80,For Tonight,Giveon,91,80,12
80,2022-01-01,81,Life Goes On,Oliver Tree,-,81,3
81,2022-01-01,82,'Til You Can't,Cody Johnson,88,65,11
82,2022-01-01,83,To Be Loved By You,Parker McCollum,85,83,4
83,2022-01-01,84,My Universe,Coldplay x BTS,74,1,13
84,2022-01-01,85,Moved To Miami,Roddy Ricch Featuring Lil Baby,-,85,1
85,2022-01-01,86,Freedom Was A Highway,Jimmie Allen & Brad Paisley,95,76,11
86,2022-01-01,87,Wandered To LA.,Juice WRLD & Justin Bieber,55,49,3
87,2022-01-01,88,Already Dead,Juice WRLD,54,20,5
88,2022-01-01,89,Tequila Little Time,Jon Pardi,90,68,11
89,2022-01-01,90,Scorpio,Moneybagg Yo,94,87,5
90,2022-01-01,91,Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage,-,91,1
91,2022-01-01,92,Heart On Fire,Eric Church,99,89,5
92,2022-01-01,93,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,89,45,6
93,2022-01-01,94,Same Boat,Zac Brown Band,92,48,14
94,2022-01-01,95,Thailand,Roddy Ricch,-,95,1
95,2022-01-01,96,Bubbly,Young Thug With Drake & Travis Scott,100,20,10
96,2022-01-01,97,Do It To It,Acraze Featuring Cherish,-,97,1
97,2022-01-01,98,No Love,Summer Walker & SZA,96,13,7
98,2022-01-01,99,Knowing You,Kenny Chesney,84,57,19
99,2022-01-01,100,Family Ties,Baby Keem & Kendrick Lamar,93,18,17
