,title,song_id,main_artist
0,Broadway Girls,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
1,Linus & Lucy,Linus & Lucy — Vince Guaraldi Trio,Vince Guaraldi Trio
2,Christmastime Is Here,Christmastime Is Here — Vince Guaraldi Trio,Vince Guaraldi Trio
3,25 Million,25 Million — Roddy Ricch,Roddy Ricch
4,Christmas Isn't Canceled (Just You),Christmas Isn't Canceled (Just You) — Kelly Clarkson,Kelly Clarkson
5,Moved To Miami,Moved To Miami — Roddy Ricch Featuring Lil Baby,Roddy Ricch
6,Hibachi,Hibachi — Roddy Ricch Featuring Kodak Black & 21 Savage,Roddy Ricch
7,Thailand,Thailand — Roddy Ricch,Roddy Ricch
8,Do It To It,Do It To It — Acraze Featuring Cherish,Acraze
9,We Don't Talk About Bruno,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
10,Surface Pressure,Surface Pressure — Jessica Darrow,Jessica Darrow
11,Christmas Tree,Christmas Tree — V,V
12,Hrs And Hrs,Hrs And Hrs — Muni Long,Muni Long
13,I Am Woman,I Am Woman — Emmy Meli,Emmy Meli
14,Pressure,Pressure — Ari Lennox,Ari Lennox
15,Beers On Me,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
16,23,23 — Sam Hunt,Sam Hunt
17,The Family Madrigal,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
18,What Else Can I Do?,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
19,Flower Shops,Flower Shops — ERNEST Featuring Morgan Wallen,ERNEST
20,Fingers Crossed,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
21,Waiting On A Miracle,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
22,Dos Oruguitas,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
23,AA,AA — Walker Hayes,Walker Hayes
24,Home Sweet,Home Sweet — Russell Dickerson,Russell Dickerson
25,Come Back As A Country Boy,Come Back As A Country Boy — Blake Shelton,Blake Shelton
26,Black Ball,Black Ball — YoungBoy Never Broke Again & Birdman,YoungBoy Never Broke Again
27,I Love You So,I Love You So — The Walters,The Walters
28,Never Wanted To Be That Girl,Never Wanted To Be That Girl — Carly Pearce & Ashley McBryde,Carly Pearce
29,Pushin P,Pushin P — Gunna & Future Featuring Young Thug,Gunna
30,Sacrifice,Sacrifice — The Weeknd,The Weeknd
31,Thought I Was Playing,Thought I Was Playing — Gunna & 21 Savage,Gunna
32,25k Jacket,25k Jacket — Gunna Featuring Lil Baby,Gunna
33,Gasoline,Gasoline — The Weeknd,The Weeknd
34,Is There Someone Else?,Is There Someone Else? — The Weeknd,The Weeknd
35,Out Of Time,Out Of Time — The Weeknd,The Weeknd
36,How Do I Make You Love Me?,How Do I Make You Love Me? — The Weeknd,The Weeknd
37,Poochie Gown,Poochie Gown — Gunna,Gunna
38,Mop,Mop — Gunna Featuring Young Thug,Gunna
39,Alotta Cake,Alotta Cake — Gunna,Gunna
40,How You Did That,How You Did That — Gunna Featuring Kodak Black,Gunna
41,Here We Go... Again,"Here We Go... Again — The Weeknd Featuring Tyler, The Creator",The Weeknd
42,Less Than Zero,Less Than Zero — The Weeknd,The Weeknd
43,IDK That Bitch,IDK That Bitch — Gunna Featuring G Herbo,Gunna
44,Best Friends,Best Friends — The Weeknd,The Weeknd
45,Livin Wild,Livin Wild — Gunna,Gunna
46,I Heard You're Married,I Heard You're Married — The Weeknd Featuring Lil Wayne,The Weeknd
47,Circles Around This Town,Circles Around This Town — Maren Morris,Maren Morris
48,Dawn FM,Dawn FM — The Weeknd,The Weeknd
49,Private Island,Private Island — Gunna,Gunna
50,South To West,South To West — Gunna,Gunna
51,You & Me,You & Me — Gunna & Chloe,Gunna
52,Starry Eyes,Starry Eyes — The Weeknd,The Weeknd
53,Don't Break My Heart,Don't Break My Heart — The Weeknd,The Weeknd
54,Flooded,Flooded — Gunna,Gunna
55,Die Alone,Die Alone — Gunna & Chris Brown Featuring Yung Bleu,Gunna
56,Every Angel Is Terrifying,Every Angel Is Terrifying — The Weeknd,The Weeknd
57,P Power,P Power — Gunna Featuring Drake,Gunna
58,Eazy,Eazy — The Game & Kanye West,The Game
59,Cold December,Cold December — Rod Wave,Rod Wave
60,Bring The Hook,Bring The Hook — YoungBoy Never Broke Again,YoungBoy Never Broke Again
61,Iffy,Iffy — Chris Brown,Chris Brown
62,Never Say Never,Never Say Never — Cole Swindell / Lainey Wilson,Cole Swindell
63,Fish Scale,Fish Scale — YoungBoy Never Broke Again,YoungBoy Never Broke Again
64,Trouble With A Heartbreak,Trouble With A Heartbreak — Jason Aldean,Jason Aldean
65,Surround Sound,Surround Sound — JID Featuring 21 Savage & Baby Tate,JID
66,All Of You,"All Of You — Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",Stephanie Beatriz
67,Light Switch,Light Switch — Charlie Puth,Charlie Puth
68,No Switch,No Switch — YoungBoy Never Broke Again,YoungBoy Never Broke Again
69,Bring It On,Bring It On — YoungBoy Never Broke Again,YoungBoy Never Broke Again
70,Flossin',Flossin' — Internet Money Featuring YoungBoy Never Broke Again,Internet Money
71,Proud,Proud — Key Glock,Key Glock
72,Know Like I Know,Know Like I Know — YoungBoy Never Broke Again,YoungBoy Never Broke Again
73,2Hoo,2Hoo — YoungBoy Never Broke Again,YoungBoy Never Broke Again
74,Long Live,Long Live — YoungBoy Never Broke Again,YoungBoy Never Broke Again
75,Dis & That,Dis & That — YoungBoy Never Broke Again,YoungBoy Never Broke Again
76,Beautiful Lies,Beautiful Lies — Yung Bleu & Kehlani,Yung Bleu
77,Smoke One,Smoke One — YoungBoy Never Broke Again,YoungBoy Never Broke Again
78,Rumors,Rumors — Gucci Mane Featuring Lil Durk,Gucci Mane
79,High,High — The Chainsmokers,The Chainsmokers
80,Johnny P's Caddy,Johnny P's Caddy — Benny The Butcher & J. Cole,Benny The Butcher
81,Peru,Peru — Fireboy DML & Ed Sheeran,Fireboy DML
82,If I Was A Cowboy,If I Was A Cowboy — Miranda Lambert,Miranda Lambert
83,Shotta Flow 6,Shotta Flow 6 — NLE Choppa,NLE Choppa
84,Vice City,Vice City — XXXTENTACION,XXXTENTACION
85,Numb Little Bug,Numb Little Bug — Em Beihold,Em Beihold
86,Infinity,Infinity — Jaymes Young,Jaymes Young
87,The Motto,The Motto — Tiesto & Ava Max,Tiesto
88,Megan's Piano,Megan's Piano — Megan Thee Stallion,Megan Thee Stallion
89,"Colombia, Mi Encanto","Colombia, Mi Encanto — Carlos Vives",Carlos Vives
90,Do We Have A Problem?,Do We Have A Problem? — Nicki Minaj X Lil Baby,Nicki Minaj
91,Don't Play That,Don't Play That — King Von & 21 Savage,King Von
92,Cigarettes,Cigarettes — Juice WRLD,Juice WRLD
93,She's All I Wanna Be,She's All I Wanna Be — Tate McRae,Tate McRae
94,Scared Money,Scared Money — YG Featuring J. Cole & Moneybagg Yo,YG
95,Emo Girl,Emo Girl — Machine Gun Kelly & WILLOW,Machine Gun Kelly
96,Black Summer,Black Summer — Red Hot Chili Peppers,Red Hot Chili Peppers
97,Doja,Doja — $NOT & A$AP Rocky,$NOT
98,Hate Our Love,Hate Our Love — Queen Naija & Big Sean,Queen Naija
99,When I'm Gone,When I'm Gone — Alesso / Katy Perry,Alesso
100,MAMIII,MAMIII — Becky G X Karol G,Becky G
101,Bussin,Bussin — Nicki Minaj X Lil Baby,Nicki Minaj
102,The Joker And The Queen,The Joker And The Queen — Ed Sheeran Featuring Taylor Swift,Ed Sheeran
103,Worst Day,Worst Day — Future,Future
104,City Of Gods,"City Of Gods — Fivio Foreign, Kanye West & Alicia Keys",Fivio Foreign
105,Boyfriend,Boyfriend — Dove Cameron,Dove Cameron
106,Good Morning Gorgeous,Good Morning Gorgeous — Mary J. Blige,Mary J. Blige
107,Closer,Closer — Saweetie Featuring H.E.R.,Saweetie
108,Stay Alive,Stay Alive — Jung Kook,Jung Kook
109,Nail Tech,Nail Tech — Jack Harlow,Jack Harlow
110,Ahhh Ha,Ahhh Ha — Lil Durk,Lil Durk
111,Banking On Me,Banking On Me — Gunna,Gunna
112,Poppin,Poppin — Yeat,Yeat
113,Pray,Pray — Jessie Murph,Jessie Murph
114,Give Heaven Some Hell,Give Heaven Some Hell — HARDY,HARDY
115,Freaky Deaky,Freaky Deaky — Tyga X Doja Cat,Tyga
116,I'm Tired,I'm Tired — Labrinth & Zendaya,Labrinth
117,I Hate YoungBoy,I Hate YoungBoy — YoungBoy Never Broke Again,YoungBoy Never Broke Again
118,Usain Boo,Usain Boo — Kodak Black,Kodak Black
119,I Wish,I Wish — Kodak Black,Kodak Black
120,To The Moon!,To The Moon! — JNR CHOI & Sam Tompkins,JNR CHOI
121,Rocking A Cardigan In Atlanta,Rocking A Cardigan In Atlanta — Lil Shordie Scott,Lil Shordie Scott
122,Bam Bam,Bam Bam — Camila Cabello Featuring Ed Sheeran,Camila Cabello
123,Handsomer,Handsomer — Russ Featuring Ktlyn,Russ
124,Publicity Stunt,Publicity Stunt — Gucci Mane,Gucci Mane
125,War,War — King Von,King Von
126,Ay!,Ay! — Machine Gun Kelly & Lil Wayne,Machine Gun Kelly
127,Neighborhood Superstar,Neighborhood Superstar — DaBaby & YoungBoy Never Broke Again,DaBaby
128,Facetime,Facetime — King Von Featuring G Herbo,King Von
129,Straight To It,Straight To It — King Von Featuring Fivio Foreign,King Von
130,Evil Twins,Evil Twins — King Von & Lil Durk,King Von
131,Trust Nothing,Trust Nothing — King Von Featuring Moneybagg Yo,King Von
132,Sweetest Pie,Sweetest Pie — Megan Thee Stallion & Dua Lipa,Megan Thee Stallion
133,What Happened To Virgil,What Happened To Virgil — Lil Durk Featuring Gunna,Lil Durk
134,Petty Too,Petty Too — Lil Durk Featuring Future,Lil Durk
135,No Interviews,No Interviews — Lil Durk,Lil Durk
136,Golden Child,Golden Child — Lil Durk,Lil Durk
137,Thinking With My Dick,Thinking With My Dick — Kevin Gates Featuring Juicy J,Kevin Gates
138,Something In The Way,Something In The Way — Nirvana,Nirvana
139,Barbarian,Barbarian — Lil Durk,Lil Durk
140,Shootout @ My Crib,Shootout @ My Crib — Lil Durk,Lil Durk
141,Started From,Started From — Lil Durk,Lil Durk
142,Headtaps,Headtaps — Lil Durk,Lil Durk
143,Smoking & Thinking,Smoking & Thinking — Lil Durk,Lil Durk
144,Grow Up/Keep It On Speaker,Grow Up/Keep It On Speaker — Lil Durk,Lil Durk
145,Blocklist,Blocklist — Lil Durk,Lil Durk
146,Difference Is,Difference Is — Lil Durk Featuring Summer Walker,Lil Durk
147,Federal Nightmares,Federal Nightmares — Lil Durk,Lil Durk
148,Bones,Bones — Imagine Dragons,Imagine Dragons
149,Blick Blick!,Blick Blick! — Coi Leray & Nicki Minaj,Coi Leray
150,Nobody Like U,Nobody Like U — 4*TOWN (From Disney And Pixar's Turning Red),4*TOWN (From Disney And Pixar's Turning Red)
151,Sometimes,Sometimes — Juice WRLD,Juice WRLD
152,Computer Murderers,Computer Murderers — Lil Durk,Lil Durk
153,Ghost Story,Ghost Story — Carrie Underwood,Carrie Underwood
154,Tom's Diner,Tom's Diner — AnnenMayKantereit & Giant Rooks,AnnenMayKantereit
155,Maybe,Maybe — Machine Gun Kelly & Bring Me The Horizon,Machine Gun Kelly
156,Over,Over — Lucky Daye,Lucky Daye
157,Money So Big,Money So Big — Yeat,Yeat
158,She Likes It,She Likes It — Russell Dickerson & Jake Scott,Russell Dickerson
159,IDGAF,IDGAF — BoyWithUke X blackbear,BoyWithUke
160,Soy El Unico,Soy El Unico — Yahritza y Su Esencia,Yahritza Y Su Esencia
161,We Go Up,We Go Up — Nicki Minaj & Fivio Foreign,Nicki Minaj
162,Make Up Sex,Make Up Sex — Machine Gun Kelly X blackbear,Machine Gun Kelly
