_idx,apple_song_id,albumName,artistName,artistUrl,artwork,audioVariants,composerName,contentRating,discNumber,durationInMillis,editorialNotes,genreNames,hasLyrics,isAppleDigitalMaster,isrc,name,playParams,previews,releaseDate,trackNumber,url
9,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,
150,1485659134,High School Musical: The Musical: The Series (Music from the Disney+ Original Series),Olivia Rodrigo,,"{'bgColor': 'ffffff', 'height': 3000, 'textColor1': '0a0a0a', 'textColor2': '540304', 'textColor3': '3b3b3b', 'textColor4': '763536', 'url': 'https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/17/df/2f/17df2ffe-56ff-a168-9f9b-82a045bf12c3/19UMGIM96294.rgb.jpg/{w}x{h}bb.jpg', 'width': 3000}",,Olivia Rodrigo,,1.0,177323.0,,"['Soundtrack', 'Music']",True,True,USWD11995182,All I Want,"{'id': '1485659134', 'kind': 'song'}",[{'url': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/00/88/f8/0088f801-4039-2325-4ecb-680b2173b6c4/mzaf_7668302000503856616.plus.aac.p.m4a'}],2019-11-27,12.0,https://music.apple.com/us/album/all-i-want/1485659112?i=1485659134
175,,,,,,,,,,,,,,,,,,,,,
202,1620082665,It's Almost Dry,Pusha T,,"{'bgColor': '030007', 'height': 3000, 'textColor1': 'f7f3f2', 'textColor2': 'e0766f', 'textColor3': 'c6c2c3', 'textColor4': 'b45e5a', 'url': 'https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/89/c7/8f/89c78fbb-56c2-25e1-55b5-3dd784eb9453/22UMGIM43681.rgb.jpg/{w}x{h}bb.jpg', 'width': 3000}",,"Kanye West, Terrence Thornton & John Lennon",explicit,1.0,173633.0,,"['Hip-Hop/Rap', 'Music']",True,True,USUM72203764,Dreamin Of The Past (feat. Kanye West),"{'id': '1620082665', 'kind': 'song'}",[{'url': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/f0/0c/80/f00c80db-2d41-0d7e-bbfb-f9e342529617/mzaf_10308890642496801452.plus.aac.p.m4a'}],2022-04-22,3.0,https://music.apple.com/us/album/dreamin-of-the-past-feat-kanye-west/1620082258?i=1620082665
207,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,
571,1652999574,Her Loss,Drake & 21 Savage,,"{'bgColor': 'a58e9e', 'height': 3000, 'textColor1': '120a16', 'textColor2': '211220', 'textColor3': '302531', 'textColor4': '3c2b39', 'url': 'https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/c7/00/3f/c7003f83-3a43-1201-4aec-41be71ba64c5/22UM1IM29131.rgb.jpg/{w}x{h}bb.jpg', 'width': 3000}",,"Aubrey Drake Graham, S. Bin Abraham-Joseph, L. Wayne, Elijah Klughammer, David Ruoff & Kyson",explicit,1.0,221406.0,,"['Hip-Hop/Rap', 'Music']",True,True,USUG12208611,More M’s,"{'id': '1652999574', 'kind': 'song'}",[{'url': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ba/6f/57/ba6f573d-a2ae-d326-2c3f-27e9661e03d7/mzaf_416253529490883952.plus.aac.p.m4a'}],2022-11-04,14.0,https://music.apple.com/us/album/more-ms/1652998965?i=1652999574
597,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,,,,,,,
721,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,,,,,,,
764,,,,,,,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,,,,,,,
827,,,,,,,,,,,,,,,,,,,,,
841,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,,,,,,,,,,,,,,,
888,,,,,,,,,,,,,,,,,,,,,
919,,,,,,,,,,,,,,,,,,,,,
969,,,,,,,,,,,,,,,,,,,,,
984,,,,,,,,,,,,,,,,,,,,,
996,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,
1036,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,
1040,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,,,,,,,,,,,,,,,
1050,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,
1109,1710685768,For All The Dogs,Drake,,"{'bgColor': '010101', 'height': 3000, 'textColor1': 'c0d0d0', 'textColor2': 'c0c7c1', 'textColor3': '99a7a7', 'textColor4': '999f9b', 'url': 'https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/21/50/ee/2150ee84-62c3-4190-7dfa-da30abd98ac8/23UM1IM09862.rgb.jpg/{w}x{h}bb.jpg', 'width': 3000}",,"Aubrey Drake Graham, S. Bin Abraham-Joseph, M. McCollum, Noah ""40"" Shebib, T. Flores, C. Small, J. Milfort, Gentuar Memishi, R. Cypriano, D. Graue & F. Leblanc",explicit,1.0,285630.0,,"['Hip-Hop/Rap', 'Music']",True,True,USUG12306068,Calling For You (feat. 21 Savage),"{'id': '1710685768', 'kind': 'song'}",[{'url': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/15/a9/4b/15a94be8-dd66-3a23-f23a-9212ae5e5523/mzaf_1586245921204728062.plus.aac.p.m4a'}],2023-10-06,3.0,https://music.apple.com/us/album/calling-for-you-feat-21-savage/1710685602?i=1710685768
1121,,,,,,,,,,,,,,,,,,,,,
1152,,,,,,,,,,,,,,,,,,,,,
1181,,,,,,,,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,
1251,,,,,,,,,,,,,,,,,,,,,
1258,,,,,,,,,,,,,,,,,,,,,
1333,,,,,,,,,,,,,,,,,,,,,
1382,,,,,,,,,,,,,,,,,,,,,
1384,,,,,,,,,,,,,,,,,,,,,
1386,,,,,,,,,,,,,,,,,,,,,
1388,,,,,,,,,,,,,,,,,,,,,
1391,,,,,,,,,,,,,,,,,,,,,
1392,,,,,,,,,,,,,,,,,,,,,
1396,,,,,,,,,,,,,,,,,,,,,
1398,,,,,,,,,,,,,,,,,,,,,
1405,,,,,,,,,,,,,,,,,,,,,
1411,,,,,,,,,,,,,,,,,,,,,
1428,1740864634,WE STILL DON'T TRUST YOU,Future & Metro Boomin,,"{'bgColor': '000000', 'height': 3000, 'textColor1': 'e5e5e5', 'textColor2': 'c1c1c1', 'textColor3': 'b7b7b7', 'textColor4': '9a9a9a', 'url': 'https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/48/55/f3/4855f346-fd74-fe8c-d75d-890b52213884/196871990844.jpg/{w}x{h}bb.jpg', 'width': 3000}",,"Nayvadius Wilburn, Leland Wayne & Christopher Townsend",explicit,1.0,243040.0,,"['Hip-Hop/Rap', 'Music']",True,False,USSM12403103,Out Of My Hands,"{'id': '1740864634', 'kind': 'song'}",[{'url': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/cc/05/95/cc0595f0-d996-b0c7-4287-ddf3c24866fb/mzaf_5032555740100113328.plus.aac.p.m4a'}],2024-04-12,3.0,https://music.apple.com/us/album/out-of-my-hands/1740864541?i=1740864634
1470,,,,,,,,,,,,,,,,,,,,,
1472,,,,,,,,,,,,,,,,,,,,,
1532,,,,,,,,,,,,,,,,,,,,,
1536,,,,,,,,,,,,,,,,,,,,,
1571,,,,,,,,,,,,,,,,,,,,,
1610,,,,,,,,,,,,,,,,,,,,,
1642,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,,,,
1645,,,,,,,,,,,,,,,,,,,,,
1662,,,,,,,,,,,,,,,,,,,,,
1664,,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,,,,,,
1696,,,,,,,,,,,,,,,,,,,,,
1709,,,,,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,,,,,
1722,,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,
1744,,,,,,,,,,,,,,,,,,,,,
1754,,,,,,,,,,,,,,,,,,,,,
1762,,,,,,,,,,,,,,,,,,,,,
1763,,,,,,,,,,,,,,,,,,,,,
1787,,,,,,,,,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,,,,,,,
2062,,,,,,,,,,,,,,,,,,,,,
2064,,,,,,,,,,,,,,,,,,,,,
2085,,,,,,,,,,,,,,,,,,,,,
2114,,,,,,,,,,,,,,,,,,,,,
2117,,,,,,,,,,,,,,,,,,,,,
2118,,,,,,,,,,,,,,,,,,,,,
2122,,,,,,,,,,,,,,,,,,,,,
2124,1802104214,I’m The Problem,Morgan Wallen & Eric Church,,"{'bgColor': 'eed8a7', 'height': 3000, 'textColor1': '120a07', 'textColor2': '3a251a', 'textColor3': '3e3327', 'textColor4': '5e4936', 'url': 'https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1e/ef/26/1eef2600-29f4-5423-3052-26874afd2947/25UMGIM46050.rgb.jpg/{w}x{h}bb.jpg', 'width': 3000}",,Rocky Block & Blake Pendergrass,,1.0,195840.0,,"['Country', 'Music']",True,True,USUG12501614,Number 3 and Number 7,"{'id': '1802104214', 'kind': 'song'}",[{'url': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/3b/90/b7/3b90b74f-2198-4023-64da-47bcb85d679d/mzaf_18158032567845343579.plus.aac.p.m4a'}],2025-05-16,17.0,https://music.apple.com/us/album/number-3-and-number-7/1802103958?i=1802104214
2130,,,,,,,,,,,,,,,,,,,,,
2131,,,,,,,,,,,,,,,,,,,,,
2132,,,,,,,,,,,,,,,,,,,,,
